yearID,teamID,franchID,lgID,name,W,L,G,W_pct,canonical_franchise,is_relocated_franchise,relocation_year,pre_relocation,post_relocation,years_since_relocation,relocation_era
2000,ATL,ATL,NL,Atlanta Braves,95,67,162,0.586,ATL,True,1966,False,True,34,none
2001,ATL,ATL,NL,Atlanta Braves,88,74,162,0.543,ATL,True,1966,False,True,35,none
2002,ATL,ATL,NL,Atlanta Braves,101,59,160,0.631,ATL,True,1966,False,True,36,none
2003,ATL,ATL,NL,Atlanta Braves,101,61,162,0.623,ATL,True,1966,False,True,37,none
2004,ATL,ATL,NL,Atlanta Braves,96,66,162,0.593,ATL,True,1966,False,True,38,none
2005,ATL,ATL,NL,Atlanta Braves,90,72,162,0.556,ATL,True,1966,False,True,39,none
2006,ATL,ATL,NL,Atlanta Braves,79,83,162,0.488,ATL,True,1966,False,True,40,none
2007,ATL,ATL,NL,Atlanta Braves,84,78,162,0.519,ATL,True,1966,False,True,41,none
2008,ATL,ATL,NL,Atlanta Braves,72,90,162,0.444,ATL,True,1966,False,True,42,none
2009,ATL,ATL,NL,Atlanta Braves,86,76,162,0.531,ATL,True,1966,False,True,43,none
2010,ATL,ATL,NL,Atlanta Braves,91,71,162,0.562,ATL,True,1966,False,True,44,none
2011,ATL,ATL,NL,Atlanta Braves,89,73,162,0.549,ATL,True,1966,False,True,45,none
2012,ATL,ATL,NL,Atlanta Braves,94,68,162,0.58,ATL,True,1966,False,True,46,none
2013,ATL,ATL,NL,Atlanta Braves,96,66,162,0.593,ATL,True,1966,False,True,47,none
2014,ATL,ATL,NL,Atlanta Braves,79,83,162,0.488,ATL,True,1966,False,True,48,none
2015,ATL,ATL,NL,Atlanta Braves,67,95,162,0.414,ATL,True,1966,False,True,49,none
2016,ATL,ATL,NL,Atlanta Braves,68,93,161,0.422,ATL,True,1966,False,True,50,none
2017,ATL,ATL,NL,Atlanta Braves,72,90,162,0.444,ATL,True,1966,False,True,51,none
2018,ATL,ATL,NL,Atlanta Braves,90,72,162,0.556,ATL,True,1966,False,True,52,none
2019,ATL,ATL,NL,Atlanta Braves,97,65,162,0.599,ATL,True,1966,False,True,53,none
2020,ATL,ATL,NL,Atlanta Braves,35,25,60,0.583,ATL,True,1966,False,True,54,none
2021,ATL,ATL,NL,Atlanta Braves,88,73,161,0.547,ATL,True,1966,False,True,55,none
2022,ATL,ATL,NL,Atlanta Braves,101,61,162,0.623,ATL,True,1966,False,True,56,none
2023,ATL,ATL,NL,Atlanta Braves,104,58,162,0.642,ATL,True,1966,False,True,57,none
2024,ATL,ATL,NL,Atlanta Braves,89,73,162,0.549,ATL,True,1966,False,True,58,none
1901,MLA,BAL,AL,Milwaukee Brewers,48,89,137,0.35,BAL,True,1954,True,False,,none
1902,SLA,BAL,AL,St. Louis Browns,78,58,136,0.574,BAL,True,1954,True,False,,none
1903,SLA,BAL,AL,St. Louis Browns,65,74,139,0.468,BAL,True,1954,True,False,,none
1904,SLA,BAL,AL,St. Louis Browns,65,87,152,0.428,BAL,True,1954,True,False,,none
1905,SLA,BAL,AL,St. Louis Browns,54,99,153,0.353,BAL,True,1954,True,False,,none
1906,SLA,BAL,AL,St. Louis Browns,76,73,149,0.51,BAL,True,1954,True,False,,none
1907,SLA,BAL,AL,St. Louis Browns,69,83,152,0.454,BAL,True,1954,True,False,,none
1908,SLA,BAL,AL,St. Louis Browns,83,69,152,0.546,BAL,True,1954,True,False,,none
1909,SLA,BAL,AL,St. Louis Browns,61,89,150,0.407,BAL,True,1954,True,False,,none
1910,SLA,BAL,AL,St. Louis Browns,47,107,154,0.305,BAL,True,1954,True,False,,none
1911,SLA,BAL,AL,St. Louis Browns,45,107,152,0.296,BAL,True,1954,True,False,,none
1912,SLA,BAL,AL,St. Louis Browns,53,101,154,0.344,BAL,True,1954,True,False,,none
1913,SLA,BAL,AL,St. Louis Browns,57,96,153,0.373,BAL,True,1954,True,False,,none
1914,SLA,BAL,AL,St. Louis Browns,71,82,153,0.464,BAL,True,1954,True,False,,none
1915,SLA,BAL,AL,St. Louis Browns,63,91,154,0.409,BAL,True,1954,True,False,,none
1916,SLA,BAL,AL,St. Louis Browns,79,75,154,0.513,BAL,True,1954,True,False,,none
1917,SLA,BAL,AL,St. Louis Browns,57,97,154,0.37,BAL,True,1954,True,False,,none
1918,SLA,BAL,AL,St. Louis Browns,58,64,122,0.475,BAL,True,1954,True,False,,none
1919,SLA,BAL,AL,St. Louis Browns,67,72,139,0.482,BAL,True,1954,True,False,,none
1920,SLA,BAL,AL,St. Louis Browns,76,77,153,0.497,BAL,True,1954,True,False,,none
1921,SLA,BAL,AL,St. Louis Browns,81,73,154,0.526,BAL,True,1954,True,False,,none
1922,SLA,BAL,AL,St. Louis Browns,93,61,154,0.604,BAL,True,1954,True,False,,none
1923,SLA,BAL,AL,St. Louis Browns,74,78,152,0.487,BAL,True,1954,True,False,,none
1924,SLA,BAL,AL,St. Louis Browns,74,78,152,0.487,BAL,True,1954,True,False,,none
1925,SLA,BAL,AL,St. Louis Browns,82,71,153,0.536,BAL,True,1954,True,False,,none
1926,SLA,BAL,AL,St. Louis Browns,62,92,154,0.403,BAL,True,1954,True,False,,none
1927,SLA,BAL,AL,St. Louis Browns,59,94,153,0.386,BAL,True,1954,True,False,,none
