yearID,teamID,franchID,lgID,name,W,L,G,W_pct,canonical_franchise,is_relocated_franchise,relocation_year,pre_relocation,post_relocation,years_since_relocation
1889,CHN,CHC,NL,Chicago White Stockings,67,65,132,0.508,,False,,False,False,
1890,CHN,CHC,NL,Chicago Colts,83,53,136,0.61,,False,,False,False,
1891,CHN,CHC,NL,Chicago Colts,82,53,135,0.607,,False,,False,False,
1892,CHN,CHC,NL,Chicago Colts,70,76,146,0.479,,False,,False,False,
1893,CHN,CHC,NL,Chicago Colts,56,71,127,0.441,,False,,False,False,
1894,CHN,CHC,NL,Chicago Colts,57,75,132,0.432,,False,,False,False,
1895,CHN,CHC,NL,Chicago Colts,72,58,130,0.554,,False,,False,False,
1896,CHN,CHC,NL,Chicago Colts,71,57,128,0.555,,False,,False,False,
1897,CHN,CHC,NL,Chicago Colts,59,73,132,0.447,,False,,False,False,
1898,CHN,CHC,NL,Chicago Orphans,85,65,150,0.567,,False,,False,False,
1899,CHN,CHC,NL,Chicago Orphans,75,73,148,0.507,,False,,False,False,
1900,CHN,CHC,NL,Chicago Orphans,65,75,140,0.464,,False,,False,False,
1901,CHN,CHC,NL,Chicago Orphans,53,86,139,0.381,,False,,False,False,
1902,CHN,CHC,NL,Chicago Orphans,68,69,137,0.496,,False,,False,False,
1903,CHN,CHC,NL,Chicago Cubs,82,56,138,0.594,,False,,False,False,
1904,CHN,CHC,NL,Chicago Cubs,93,60,153,0.608,,False,,False,False,
1905,CHN,CHC,NL,Chicago Cubs,92,61,153,0.601,,False,,False,False,
1906,CHN,CHC,NL,Chicago Cubs,116,36,152,0.763,,False,,False,False,
1907,CHN,CHC,NL,Chicago Cubs,107,45,152,0.704,,False,,False,False,
1908,CHN,CHC,NL,Chicago Cubs,99,55,154,0.643,,False,,False,False,
1909,CHN,CHC,NL,Chicago Cubs,104,49,153,0.68,,False,,False,False,
1910,CHN,CHC,NL,Chicago Cubs,104,50,154,0.675,,False,,False,False,
1911,CHN,CHC,NL,Chicago Cubs,92,62,154,0.597,,False,,False,False,
1912,CHN,CHC,NL,Chicago Cubs,91,59,150,0.607,,False,,False,False,
1913,CHN,CHC,NL,Chicago Cubs,88,65,153,0.575,,False,,False,False,
1914,CHN,CHC,NL,Chicago Cubs,78,76,154,0.506,,False,,False,False,
1915,CHN,CHC,NL,Chicago Cubs,73,80,153,0.477,,False,,False,False,
1916,CHN,CHC,NL,Chicago Cubs,67,86,153,0.438,,False,,False,False,
1917,CHN,CHC,NL,Chicago Cubs,74,80,154,0.481,,False,,False,False,
1918,CHN,CHC,NL,Chicago Cubs,84,45,129,0.651,,False,,False,False,
1919,CHN,CHC,NL,Chicago Cubs,75,65,140,0.536,,False,,False,False,
1920,CHN,CHC,NL,Chicago Cubs,75,79,154,0.487,,False,,False,False,
1921,CHN,CHC,NL,Chicago Cubs,64,89,153,0.418,,False,,False,False,
1922,CHN,CHC,NL,Chicago Cubs,80,74,154,0.519,,False,,False,False,
1923,CHN,CHC,NL,Chicago Cubs,83,71,154,0.539,,False,,False,False,
1924,CHN,CHC,NL,Chicago Cubs,81,72,153,0.529,,False,,False,False,
1925,CHN,CHC,NL,Chicago Cubs,68,86,154,0.442,,False,,False,False,
1926,CHN,CHC,NL,Chicago Cubs,82,72,154,0.532,,False,,False,False,
1927,CHN,CHC,NL,Chicago Cubs,85,68,153,0.556,,False,,False,False,
1928,CHN,CHC,NL,Chicago Cubs,91,63,154,0.591,,False,,False,False,
1929,CHN,CHC,NL,Chicago Cubs,98,54,152,0.645,,False,,False,False,
1930,CHN,CHC,NL,Chicago Cubs,90,64,154,0.584,,False,,False,False,
1931,CHN,CHC,NL,Chicago Cubs,84,70,154,0.545,,False,,False,False,
1932,CHN,CHC,NL,Chicago Cubs,90,64,154,0.584,,False,,False,False,
1933,CHN,CHC,NL,Chicago Cubs,86,68,154,0.558,,False,,False,False,
1934,CHN,CHC,NL,Chicago Cubs,86,65,151,0.57,,False,,False,False,
1935,CHN,CHC,NL,Chicago Cubs,100,54,154,0.649,,False,,False,False,
